Dataset,Model,Raw AUC (Mean ± Std),Raw F1 (Mean ± Std),Raw Precision (Mean ± Std),Raw Recall (Mean ± Std),Adjusted AUC (Mean ± Std),Adjusted F1 (Mean ± Std),Adjusted Precision (Mean ± Std),Adjusted Recall (Mean ± Std)
Dataset 0,DeepSVDDTS,0.857 ± 0.008,0.775 ± 0.004,0.937 ± 0.011,0.660 ± 0.009,0.924 ± 0.011,0.815 ± 0.001,0.986 ± 0.036,0.696 ± 0.024
Dataset 0,USAD,0.788 ± 0.010,0.651 ± 0.001,0.646 ± 0.001,0.655 ± 0.002,0.804 ± 0.011,0.706 ± 0.002,0.715 ± 0.004,0.697 ± 0.000
Dataset 0,DeepIsolationForestTS,0.812 ± 0.005,0.676 ± 0.000,0.657 ± 0.001,0.697 ± 0.000,0.845 ± 0.005,0.778 ± 0.006,0.880 ± 0.014,0.697 ± 0.000
Dataset 0,TranAD,0.842 ± 0.004,0.778 ± 0.002,0.954 ± 0.025,0.657 ± 0.012,0.865 ± 0.004,0.814 ± 0.001,0.990 ± 0.007,0.692 ± 0.004
Dataset 0,COUTA,0.837 ± 0.031,0.777 ± 0.002,0.942 ± 0.028,0.662 ± 0.015,0.883 ± 0.041,0.814 ± 0.002,0.990 ± 0.013,0.692 ± 0.007
Dataset 0,AnomalyTransformer,0.786 ± 0.057,0.565 ± 0.106,0.600 ± 0.107,0.536 ± 0.108,0.914 ± 0.014,0.780 ± 0.034,0.915 ± 0.072,0.682 ± 0.029
Dataset 0,GDeepSVDDTS,0.794 ± 0.089,0.714 ± 0.119,0.888 ± 0.139,0.598 ± 0.106,0.875 ± 0.041,0.824 ± 0.018,0.987 ± 0.028,0.710 ± 0.044
Dataset 1,DeepSVDDTS,0.584 ± 0.004,0.279 ± 0.004,0.250 ± 0.007,0.315 ± 0.006,0.992 ± 0.001,0.925 ± 0.017,0.862 ± 0.029,1.000 ± 0.000
Dataset 1,USAD,0.532 ± 0.006,0.211 ± 0.000,0.526 ± 0.050,0.132 ± 0.003,0.953 ± 0.005,0.664 ± 0.031,0.497 ± 0.036,1.000 ± 0.000
Dataset 1,DeepIsolationForestTS,0.586 ± 0.016,0.278 ± 0.014,0.214 ± 0.017,0.399 ± 0.014,0.974 ± 0.000,0.814 ± 0.000,0.687 ± 0.000,1.000 ± 0.000
Dataset 1,TranAD,0.550 ± 0.014,0.189 ± 0.007,0.109 ± 0.007,0.751 ± 0.116,0.992 ± 0.005,0.910 ± 0.038,0.838 ± 0.061,1.000 ± 0.000
Dataset 1,COUTA,0.500 ± 0.014,0.187 ± 0.009,0.110 ± 0.009,0.653 ± 0.132,0.994 ± 0.006,0.938 ± 0.048,0.909 ± 0.026,0.973 ± 0.080
Dataset 1,AnomalyTransformer,0.510 ± 0.017,0.207 ± 0.016,0.494 ± 0.201,0.139 ± 0.016,0.972 ± 0.003,0.809 ± 0.008,0.680 ± 0.012,1.000 ± 0.000
Dataset 1,GDeepSVDDTS,0.472 ± 0.054,0.179 ± 0.025,0.105 ± 0.025,0.788 ± 0.179,0.995 ± 0.001,0.957 ± 0.012,0.918 ± 0.023,1.000 ± 0.000
Dataset 2,DeepSVDDTS,0.489 ± 0.002,0.244 ± 0.001,0.139 ± 0.000,0.997 ± 0.003,0.998 ± 0.001,0.980 ± 0.007,0.961 ± 0.013,1.000 ± 0.000
Dataset 2,USAD,0.762 ± 0.001,0.416 ± 0.003,0.274 ± 0.002,0.861 ± 0.024,0.930 ± 0.001,0.651 ± 0.000,0.483 ± 0.000,1.000 ± 0.000
Dataset 2,DeepIsolationForestTS,0.884 ± 0.008,0.632 ± 0.055,0.668 ± 0.127,0.610 ± 0.002,0.938 ± 0.001,0.784 ± 0.000,1.000 ± 0.000,0.645 ± 0.000
Dataset 2,TranAD,0.566 ± 0.022,0.269 ± 0.018,0.193 ± 0.020,0.490 ± 0.177,0.992 ± 0.000,0.951 ± 0.000,0.906 ± 0.000,1.000 ± 0.000
Dataset 2,COUTA,0.606 ± 0.013,0.291 ± 0.014,0.211 ± 0.022,0.487 ± 0.057,0.998 ± 0.001,0.986 ± 0.005,0.972 ± 0.010,1.000 ± 0.000
Dataset 2,AnomalyTransformer,0.730 ± 0.082,0.441 ± 0.099,0.410 ± 0.171,0.645 ± 0.233,0.974 ± 0.037,0.897 ± 0.109,0.829 ± 0.159,1.000 ± 0.000
Dataset 2,GDeepSVDDTS,0.551 ± 0.021,0.261 ± 0.015,0.164 ± 0.025,0.753 ± 0.219,0.998 ± 0.001,0.981 ± 0.008,0.963 ± 0.015,1.000 ± 0.000
